program,genes,size,active_in,name,description
P34,"Slc44a5, Mapk10, Pth2r, Mn1",4,Hindbrain (r1),r1 Neuronal Identity,"Defines neuronal identity in rhombomere 1, the precursor to the cerebellum. Mn1 is a transcription factor critical for hindbrain and craniofacial development, while Mapk10 (JNK3) is a brain-enriched MAP kinase involved in neuronal signaling. Pth2r (neuropeptide receptor) and Slc44a5 (choline transporter) further reflect the specialized signaling and metabolic character of r1-derived neurons."
P35,"Hlx, Cxcl13, Cfc1, Tcf21, Kcnh7, Vcam1, Gal, Kcnk3, Lrrc17, Cygb, Rab32, Armh4, Unc13c, Alcam, Irx4, Arhgdib, Pgf, Nell1, Cck, Ano4, Mgarp, Gata2, Mtarc1, Tnnt3, Laptm5, Cpa1, Cavin1, Gm13889, Gja4, Masp1, Prrt4, Opcml, Runx1, Lbh, Mtus2, Emp3, Kcns3, Nrp2, Fev, Slc32a1, Lpar3, ENSMUSG00000126749, Itga1, Pdlim2, 9630002D21Rik, Sntg1, Mmp9, Gm26760, Itgb3, Gadd45g, Slc22a3, Cavin3, Apbb1ip, Tnnt1, Prss23, Dact2, Aqp8, Trabd2b, Actg2, Plk2, Nrgn, Mrc1, Cyp2s1, Slc51a, Ddit4, Cybrd1, Mall, Hmga2-ps1, Gpr182, Col15a1, Kcnab1, Atp2b4, S100a16, ENSMUSG00000143272, Cbfa2t3, Kcne3, Ppargc1a, Syne1, Bnip3, Loxl1, Cd44, Tnni2, Slc16a9, Fmo1, Plek, Abcc9, Ptges, Ak5, Adamts9, Gmfg, Cebpd, Igfbp3, Morrbid, Pde4a, Afap1l1, Dkk3, Pfkp, Slco3a1, Srgn, Myo6, Ddc, Fzd4, Lpl, Piezo2, Tmem98, Lmna, Vav3, Man1c1, Efemp2, Dock9, Sema6d, Nos1ap, Akap12, Arid5b",114,"Allantoic endothelial progenitor, Arterial endothelial cell, Endocardial cell, Endothelial cell, Endothelial progenitor, Epicardium, Extraembryonic mesoderm, First heart field, Juxtacardiac field, Macrophage, Megakaryocyte, Second heart field",Hemogenic/Cardiovascular,"Program bridging hemogenic endothelium and cardiovascular mesoderm, centered on Runx1, Gata2, and Fev—the core transcription factor triad governing the endothelial-to-hematopoietic transition—together with endothelial identity genes (Gja4, Cavin1, Nrp2, Pgf) and cardiac regulators (Irx4, Tcf21, Lbh). Its activity across endothelial progenitors, heart fields, epicardium, endocardium, and early hematopoietic cells (macrophages, megakaryocytes) reflects the closely related lateral plate mesoderm origins of cardiovascular and definitive blood lineages."
P36,"Tnnt2, Nkx2-5, Unc45b, Myl4, Tnni1, Cripto, Csrp3, Myl7, Ankrd1, Sfrp5, Myh6, Ttn, Mybpc3, Cryab, Tnnc1, Popdc2, Myh7, Ldb3, Gm12295, Hspb2, Ryr2, 5430431A17Rik, Myocd, Hspb7, Myl3, Pgam2, Acta2, Asb2, Mylk3, Smyd1, Trim55, Sphkap, Cnn1, Vsnl1, Ctnna3, Actc1, Sh3bgr, Lrrc10, Tecrl, Rrad, Hspb1, Acta1, Apobec2, Rassf5, Thbs4, Myl2, Abra, Ccdc141, Tnni3, Synpo2l, Atcayos, Myl1, Ppp1r14c, Hspb3, Hrc, Cox6a2, Trdn, Lrrc39, Xirp1, Nebl, ENSMUSG00000132265, Plppr5, Ramp1, Nppb, Myo18b, Tmod1, Tagln, Kcng2, Hcn1, Nppa, Hcn4, Des, Cacna1d, ENSMUSG00000140392, Filip1, Myom1, Alpk2, Rbm24, Tcap, Mical2, Rgs6, Mlip, Cacna2d2, Rcsd1, Fbxl22, Pdlim3, Chchd10, Nexn, Casq1, Fsd2, Pakap-1, Pakap, Jph2, Lmod2, Fitm1, Slc24a2, Fabp3, Smarcd3, Gm30786, Pnmt, Lmod1, Cacna1c, Fbxo32, Kcnj5, 4930512H18Rik, Gm47493, Cap2, Bves, ENSMUSG00000143351, Adm, Obscn, Alpk3, Slc8a1, Ptges3l, Rec114, Styxl2, Mybphl, Trim63, Kcnmb1, Crip1, Gm41505, Klhl31, Atp1b1, Ptk2b, Gyg1, Grb14, Homer2, Prkaa2, Ak1, Adss1, Efhd2",131,"First heart field, Second heart field",Cardiomyocyte Contraction,"Encodes the core cardiomyocyte contractile machinery, including sarcomeric components (Tnnt2, Myl4, Myh6, Myh7, Ttn, Mybpc3, Actc1), calcium handling proteins (Ryr2, Casq1, Slc8a1, Jph2), and cardiac ion channels (Hcn4, Cacna1c, Kcnj5). Driven by the master cardiac transcription factor Nkx2-5 alongside Myocd and Smyd1, this program assembles the complete sarcomere and excitation-contraction coupling apparatus required for functional beating cardiomyocytes in both heart fields."
P37,"Kdr, Aplnr, Hhex, Cdh5, Rasgrp3, Emcn, Esam, Icam2, Erg, Cldn5, Flt1, Cd34, Sox18, Etv2, Sox17, Tal1, Gimap6, Tie1, D030007L05Rik, Cd93, Clec1b, Ctla2a, Plvap, Tgfb1, Vamp5, Gng11, Adgrl4, Klhl6, Rasip1, Adgrf5, 4930542D17Rik, Acvrl1, Tfpi, Eng, Ecscr, Mmrn1, Ramp2, Ptprb, Myct1, Lcp1, Grap, Gngt2, Pecam1, Abi3, She, Myzap, Sox7, Gm20532, Flt4, Stab1, Csgalnact1, Plxnd1, Samsn1, Scarf1, Exoc3l4, Rapgef4, Fgd5, Inpp5d, Gimap1, Gimap4, Dysf, Trpc6, Fxyd5, Clec14a, Ppp1r13b, Pdgfb, Calcrl, S1pr1, Arap3, Dusp2, Tlr4, Tnfaip2, Cd38, Thsd1, Shank3, Egfl7",76,"Allantoic endothelial progenitor, Arterial endothelial cell, Endocardial cell, Endothelial cell, Endothelial progenitor",Core Endothelial Identity,"Defines core endothelial cell identity and specification. This program encompasses the master endothelial transcription factors (Etv2, Erg, Tal1, Sox17/18/7, Hhex), canonical surface markers (Cdh5, Pecam1, Cd34, Esam, Emcn), VEGF signaling receptors (Kdr, Flt1, Flt4), and endothelial junction/adhesion molecules (Cldn5, Icam2, Rasip1). Its broad activation across all endothelial lineages—from progenitors to arterial and endocardial cells—marks it as the foundational program establishing and maintaining endothelial fate during vasculogenesis."
P38,"Postn, Lum, Prss35, Ccn4, Pitx2, Dcn, Serpinb6b, Dkk2, Creb3l1, Smoc2, Fas, Tek, Colec11, Bmp2, Dubr, Gas6, Emp2, Adamts2, Zfpm2, Svep1, Wnt11, Col5a2, Col6a3, Myof, Igsf11, Gm56862, Rarres2, Cd248, Angpt4, Gpx3, Nrp1, Ndrg1, P4ha2, G0s2, Steap1, Anxa3, Steap2, Flnc, Serpinb9, Col5a1, Aard, Tmem108, Me1, Smim1, Anxa6, Glipr2, Fam114a1, Anxa5, Tgfbr3, Sec24d, Sparc, Fbn1, Spats2l, Copz2, Tubb2a, Tubb6, Rhoc, Ghr, Csrp1, Creb3l2, Rcn3",61,Extraembryonic mesoderm,ExM Stromal ECM Production,"Defines an extracellular matrix-producing stromal program in extraembryonic mesoderm, marked by extensive collagen (Col5a1, Col5a2, Col6a3) and matricellular protein expression (Postn, Sparc, Lum, Dcn, Fbn1, Smoc2) alongside dedicated collagen biosynthesis and secretion machinery (P4ha2, Adamts2, Creb3l1/2, Sec24d, Rcn3). Signaling inputs from BMP2, Wnt11, and TGF-beta (Tgfbr3), combined with the stromal marker Cd248 and transcription factors Pitx2 and Zfpm2, indicate a specialized connective tissue identity that builds the structural scaffold of extraembryonic membranes."
P39,"Wnt2, Tbx5, Hand1, Rgs5, Gata6, Tbx20, Hand2, Tnc, Gata5, Gata6os, Dok4, Asb4, Pmp22, Hand2os1, Hdnr, Dlk1, Ccbe1, Msx2, Bmp4, Gm34030, ENSMUSG00000134964, Msx1, Tmem88, Unc5c, Igf2, Dpf3, Tgfb2, Myrf, Zim1, Kcnq5, Snai2, Unc5b, Pcdh7, Bambi, Bmp5, Kitl, Cgnl1, Zfpm1, Peg10, Igf2os, Man1a, Slc38a4, Ppic, Lsp1, Peg3, Smad6, Usp29, Igf2r, Cdkn1c, Mpped2, Smad7",51,"Allantois, Amniotic ectoderm, Endocardial cell, Epicardium, Extraembryonic mesoderm, Juxtacardiac field, Second heart field, Somatic mesoderm",Cardiac/LPM Identity,"Defines lateral plate mesoderm (LPM) and cardiac mesoderm identity through a core transcription factor network (Tbx5, Tbx20, Hand1/2, Gata5/6, Zfpm1/FOG1, Dpf3) active across heart fields, endocardium, epicardium, and extraembryonic mesoderm derivatives. The program integrates BMP/TGF-β signaling (Bmp4, Bmp5, Tgfb2) with pathway feedback inhibitors (Smad6, Smad7, Bambi) and is enriched for imprinted genes (Igf2, Dlk1, Peg3, Peg10, Cdkn1c) that regulate mesodermal growth. Collectively, this program specifies the shared regulatory state of splanchnic and somatic LPM lineages, with strongest activity in cardiac progenitor populations."
P40,"Tac2, Tinagl1, Upk3b, Upk1b, Hapln1, Ahnak, Anxa2, Cavin2, Pla2r1, Bnc1, Ccdc80, Lrrn4, Vnn1, Adamts17, Gjb5, S100a6, Cobll1, Hspb8, Epas1, Cd55, S100a11, Abca4, S100a10, Arhgap29, Cdc42ep5, Jdp2, Hacd4, Hspg2",28,"Amniotic ectoderm, Extraembryonic mesoderm, Trigeminal placode",Mesothelial Identity,"Defines mesothelial and surface epithelial identity in extraembryonic and body cavity-lining tissues. Uroplakins (Upk3b, Upk1b) and S100 calcium-binding proteins (S100a6, S100a10, S100a11) are hallmarks of mesothelial cells, supported by membrane-organizing factors (Anxa2, Ahnak, Cavin2), basement membrane components (Hspg2, Tinagl1), and the epithelial transcription factor Bnc1. Epas1 (HIF-2α) further links this program to the hypoxia-responsive extraembryonic compartment where mesothelial precursors reside."
P41,"Tbx4, Pitx1, Foxf1, Fendrr, Isl1, Gm47071, Hoxa13, Ppp1r14a, Tmem158, Pde9a",10,Allantois,Allantois Specification,"Defines allantois identity through a posterior mesoderm transcription factor program. Tbx4, Pitx1, Hoxa13, and Foxf1/Fendrr collectively establish posterior lateral plate mesoderm fate in the allantois, with Hoxa13 being essential for allantois morphogenesis and chorioallantoic fusion. Isl1 contributes to the broader caudal mesoderm regulatory network supporting this extraembryonic lineage."
P42,"D030025E07Rik, ENSMUSG00000136475, ENSMUSG00000133633, ENSMUSG00000131589, Tdrd12",5,"Lateral plate mesoderm, Second heart field, Splanchnic mesoderm",Novel LPM/SHF Transcripts,"A program composed almost entirely of uncharacterized or poorly annotated genes (RIKEN clones and novel Ensembl loci) active in lateral plate and splanchnic mesoderm, including the second heart field. The sole named gene, Tdrd12, is primarily known for piRNA-pathway function in the germline and has no established role in mesoderm development. This program likely captures novel or non-coding transcripts with lineage-heritable expression in splanchnic mesodermal derivatives, though its functional significance remains unclear."
P43,"Gucy1a1, Irag1, Rem1, Gucy1b1, Prnp",5,Megakaryocyte,NO-cGMP Signaling,"Encodes the nitric oxide–cGMP signaling axis in megakaryocytes. Gucy1a1 and Gucy1b1 form the soluble guanylyl cyclase heterodimer (the NO receptor), while Irag1 is a key cGMP-dependent protein kinase (PKG) substrate that inhibits IP3 receptor–mediated calcium release to restrain platelet activation. Prnp further modulates platelet aggregation, linking this program to NO-dependent regulation of megakaryocyte maturation and hemostatic function."
P44,"Synpo2, Tgfb1i1, Myl9, Tpm2",4,"Extraembryonic mesoderm, First heart field, Megakaryocyte, Myotome, Second heart field",Actomyosin Contractility,"Encodes core components of the actomyosin contractile apparatus, including regulatory myosin light chain (Myl9), tropomyosin (Tpm2), and actin-associated scaffolding proteins (Synpo2, Tgfb1i1). This program is active across mesodermal lineages that require cytoskeletal contractility—cardiac progenitors of both heart fields, myotome, extraembryonic mesoderm, and megakaryocytes—reflecting a shared smooth/non-sarcomeric contractile module used broadly during mesoderm diversification."
P45,"Ndufa4l2, Cox4i2, Tmem45a, Pgm1",4,"Allantois, Anterior mesoderm, Autonomic neuron, Extraembryonic mesoderm, First heart field, Hepatoblast",HIF Hypoxia Response,"HIF-regulated hypoxic metabolic adaptation program. Ndufa4l2 and Cox4i2 are direct HIF-1α targets that remodel mitochondrial electron transport chain complexes I and IV to reduce oxygen consumption under low-oxygen conditions, while Pgm1 supports the glycolytic shift and Tmem45a is a hypoxia-inducible transmembrane protein. Activity in allantois, extraembryonic mesoderm, and first heart field is consistent with tissues experiencing physiological hypoxia during early embryogenesis."
P46,"Rbm20, Amph, Smtnl2, Pkp2",4,"First heart field, Second heart field",Cardiomyocyte Structure,"A cardiac structural maturation program active across both heart fields. Rbm20 drives cardiac-specific alternative splicing of sarcomeric genes (e.g., titin), Pkp2 encodes the desmosomal protein plakophilin-2 essential for mechanical coupling at intercalated discs, Smtnl2 contributes to contractile apparatus organization, and Amph participates in membrane remodeling. Together, these genes coordinate the assembly of sarcomeric, junctional, and membrane structures required for functional cardiomyocyte differentiation."
P47,"Foxl2, Aldh1a2, Pax9, Mybpc1, Shisa3, Prdm16, Wt1, Tdo2, Gm57290, Fst, Tbx18, Slitrk6, Pcp4, ENSMUSG00000123580, Cyp26c1, Fgf10, ENSMUSG00000141972, C1qtnf3, Cdh18, Myf5, Mecom, Wfdc21, Corin, Foxf2, ENSMUSG00000133926, Foxl2os, Col25a1, Tm4sf1, Nfia, Fibin, Nrsn1, Pappa, Tshz2, Saa1, Saa2, Pag1, Kirrel3, Wt1os, E130114P18Rik, Nrg1, C1qtnf7, Grik1, Ptx3, Rerg, Col12a1, Ptpre, ENSMUSG00000127145, Angptl1, Cbr3, Slc15a2, Angpt1, Cabp1, Eya4, Tbx3os1, Scube1, Tafa2, Kynu, Gsc, Has2, Hsd11b2, Prkcb, Nr6a1os, Mme, Klf2, Epha7, Sox9, 1700018A04Rik, Ntm, Runx2, Sox8, Stra6, Gm43050, Arpp21, Scn3a, Sh3gl3, Nbl1, Csn3, Abi3bp, Cdh15, Dpep1, Creb5, Col2a1, Vegfc, Fat4, Bmpr1b, Thsd4, Adgrg6, Gask1b, Col19a1, Kcnc2, 4930500L23Rik, ENSMUSG00000126435, Adamtsl3, Wif1, Cadm2, Ccdc42, Nrtn, Gxylt2, Pmepa1, Gm21814, Nav3, Fbln2, Ntf3, Prr16, Edn3, Rnf150, Olfml1, Lrfn2, Slc1a3, Ndst4, Gm20471, Cpa2, Frem1, Cldn1, Kcp, Spock3, Ntng1, Trps1, Adamts12, Igdcc3, Atf3, Qpct, Antxr1, Phactr3, Lhfpl6, Col9a2, Dpyd, Ldb2, Matn4, Arhgap20, Csmd3, Rftn2, Epha2, Cav1, Grm7, Daam2, Sgcz, Efemp1, Carmn, Col11a1, Sdk2, Sned1, Sorcs3, Plat, Pth1r, Dusp6, Cux2, Pear1, Zfp703, Ptprd, Eno3, Sertad4, Plekhg1, Cttnbp2, Kdelr3, Rbfox1, Sobp, Slc24a3, Nkain3, Stambpl1, Tanc1, Timp3, Spaca6, Adamts19, Ccn1, Mertk, Dnm1, Gm16070, Sdk1, Plcb1, Myc, Ptprm, H2ac24, Rgmb, Zeb1, Galnt17, Gli1, Zfp827, Pvt1, Tead4, Sorl1, Dab2, Vcan, Klf12, Eef2k, H1f3, Cntln, Id1, Ank3, Ankrd44, Nab2, Mmp16, Edil3, Bach2, Enox1, Tns3, Ltbp1, ENSMUSG00000139198, Loxl2, Asxl3, Fam110b, Gse1, Lpgat1, Gm56577, H3c6",205,"Forelimb field, Head paraxial mesoderm, Hindlimb field, Hypaxial myogenic progenitor, Mesothelium, Myotome, Periocular mesoderm, Pharyngeal mesoderm, Sclerotome",Mesodermal Mesenchyme,"A broad mesodermal mesenchyme program active across paraxial and lateral plate mesoderm derivatives. It features cartilage/skeletal ECM genes (Col2a1, Col11a1, Col9a2, Sox9, Runx2, Matn4, Trps1), retinoic acid signaling components (Aldh1a2, Cyp26c1, Stra6), limb mesenchyme signals (Fgf10), and extensive extracellular matrix remodeling factors (ADAMTS family, Vcan, Fbln2, Loxl2). This program likely represents a shared connective tissue identity established in early mesoderm that is maintained across diverse skeletal, muscular, and mesothelial lineages as they diversify during E7.5–E10."
P48,"Alx3, Hpse2, Alx4, Ddr2, Prrx1, Cped1, Alx1, Col1a1, Twist1, Col26a1, Gm56620, Twist2, Dnm3os, Fli1, Igf1, Col9a1, Bnc2, Flrt2, Prrx2, Pcolce, Tril, Col23a1, Tnfaip6, Inka1, Lama2, Col1a2, Ets1, Serpinf1, Pdgfra, Clmp, Itga8, Runx1t1, Pdgfrb, Itga9, Ppfibp2, Rhoj, Tmem119, Snai1, Nid1, Dlc1, Tgfbi, Cdh11, ENSMUSG00000139539, Fbln5, Crispld1, Tns1, Hmcn1, Kctd12, Adgra2, Eva1b, Mfap4, Ror1, Sema5a, Dact3, Ednra, Emilin1, Lima1, Pkdcc, Cnn2, Lgals1, Elk3, Colec12, Sgcd, Arhgap31, Scarf2, Rbms3, Aff3, St6galnac3, Oaf, Zcchc24, Prex2, Prkg1, Sh3bp5, Dixdc1, Pcdh18, Arhgap28, Samd4, Gng12, Plpp3, Igfbp4, Arhgef40",81,"Forelimb field, Frontonasal mesenchyme, Head paraxial mesoderm, Hindlimb field, Juxtacardiac field, Periocular mesoderm, Pharyngeal arch mesenchyme, Sclerotome, Somatic mesoderm",Mesenchyme Identity,"Core mesenchymal identity program defined by Twist1/2, Prrx1/2, Snai1, and Alx1/3/4 transcription factors together with mesenchyme-associated receptors (Pdgfra, Pdgfrb, Ednra) and abundant ECM components (Col1a1/1a2, laminins, fibulin, emilin). Active across diverse mesoderm- and neural crest-derived mesenchymal populations—limb fields, pharyngeal arch, frontonasal, periocular, and sclerotome—it establishes the shared transcriptional and extracellular matrix scaffold underlying mesenchyme specification and connective tissue formation during mid-embryogenesis."
P49,"Meox1, Tcf15, Fap, Pax1, Uncx, Meox2, Foxc2, Foxd1, Dmrt2, Nkx3-1, Sim1, Wnt16, Gm41244, Foxd2os, Six1, Pax1dt, Foxc1, Ebf2, Ntn1, Pgm5, Bmp3, Cxcl12, Foxd2, Adra1a, 2610016A17Rik, Sec1, 9130410C08Rik, Ebf1, Agmo, Ebf3, Ism1, Sncaip, Eya1, Islr, Lrig1, Itih5, Selenop, Phlda1, Rab3il1, Fbn2, Pcsk5, Dock5",42,"Dermomyotome, Head paraxial mesoderm, Hypaxial myogenic progenitor, Nascent somite, Sclerotome",Somite Identity,"Defines the core transcriptional identity of somitic paraxial mesoderm, driven by master regulators of somitogenesis (Meox1/2, Tcf15/Paraxis, Pax1, Foxc1/2, Dmrt2, Uncx) along with the Six1-Eya1 and Ebf1/2/3 programs. Active across somite compartments—nascent somite, dermomyotome, sclerotome, and hypaxial myogenic progenitors—this program encodes the shared heritable signature of somite-derived lineages rather than a single compartment fate."
P50,"Lhx9, Tbx15, Rspo4, Shox2, Lmx1b, C130021I20Rik, Lix1, Gpc5, Hgf, Cdo1, a",11,"Forelimb field, Hindlimb field",Limb Mesenchyme Identity,"Defines limb bud mesenchyme identity and patterning in both fore- and hindlimb fields. The program centers on key limb transcription factors including Lmx1b (dorsal limb fate), Shox2 (proximal stylopod patterning), Tbx15 (dorso-ventral specification), and Lhx9, alongside limb-enriched signaling components such as Rspo4 (Wnt potentiator), Hgf (muscle precursor migration), and the limb marker Lix1. Together these genes establish the core mesenchymal framework for early limb morphogenesis and axial patterning."
P51,"Sparcl1, S1pr3, Nkd2, Pdlim4, Lrig3, Sulf2, Pde4d",7,"Dermomyotome, Nascent somite, Notochord, Presomitic mesoderm, Sclerotome",Somite Signal Modulation,"A signaling modulation program active across the somite maturation trajectory and notochord. It combines negative regulators of Wnt (Nkd2), receptor tyrosine kinase (Lrig3), and heparan sulfate-dependent signaling (Sulf2) with cAMP turnover (Pde4d) and ECM/cytoskeletal components (Sparcl1, Pdlim4), suggesting coordinated attenuation of multiple signaling pathways during somite patterning and differentiation into dermomyotome and sclerotome compartments."
P52,"Gm8730, D130009I18Rik, Gm13611, Gm10076, Hba-a1, Rpl24",6,Primitive erythrocyte,PrimEry Hba/Ribosomal,"Primitive erythrocyte program coupling alpha-globin (Hba-a1) expression with ribosomal machinery (Rpl24) and co-transcribed pseudogenes/unannotated transcripts (Gm8730, Gm13611, Gm10076, D130009I18Rik). This likely reflects the exceptionally high transcriptional and translational output required for massive hemoglobin accumulation in primitive red blood cells, with pseudogene transcription as a byproduct of the permissive chromatin state in these cells."
P53,"Crym, Six2, Tbx2, Crlf1, D030045P18Rik, Kank4",6,Frontonasal mesenchyme,Frontonasal Mesenchyme ID,"Defines frontonasal mesenchyme identity and midface morphogenesis. Six2 is a master regulator of the frontonasal prominence whose loss causes midface clefting, while Tbx2 contributes to craniofacial patterning. Crlf1 is linked to craniofacial development (Crisponi/cold-induced sweating syndrome), and Crym marks craniofacial mesenchyme, together specifying the progenitor population that forms the midface and nasal structures."
P54,"Epha3, Ppp2r2b, Col14a1, Ccser1, Pde3a, Crispld2",6,"Juxtacardiac field, Otic placode, Somatic mesoderm",Morphogenetic ECM Remodeling,"This program coordinates extracellular matrix organization and morphogenetic signaling during tissue remodeling. Col14a1 and Crispld2 encode secreted ECM components that regulate collagen fibrillogenesis and matrix integrity, while Epha3 mediates cell sorting and tissue boundary formation. Intracellular modulators Pde3a and Ppp2r2b fine-tune cAMP and phosphatase signaling downstream of morphogenetic cues. Active in the juxtacardiac field, otic placode, and somatic mesoderm—tissues undergoing active shape changes and mesenchymal reorganization during mid-embryogenesis."
P55,"Barx1, Dlx1, Dlx2, Lhx8, Gm29260, Mab21l1",6,Pharyngeal arch mesenchyme,Pharyngeal Arch Patterning,"Encodes a transcription factor program governing pharyngeal arch mesenchyme identity and craniofacial patterning. Barx1, Dlx1, Dlx2, and Lhx8 are homeobox transcription factors co-expressed in neural crest-derived mesenchyme of the pharyngeal arches, where they specify proximal-distal positional identity and are essential for downstream craniofacial structures including the jaw, palate, and teeth. Mab21l1 further supports craniofacial morphogenesis in this context."
P56,"Halr1, Cd36, Foxl1, Esrrg, P3h2",5,"Dermomyotome, Enteroendocrine progenitor, First heart field, Lateral plate mesoderm, Myotome, Periocular mesoderm, Sclerotome, Second heart field",Mesoderm Metabolic,"This program combines metabolic regulators Esrrg and Cd36 (lipid/energy metabolism) with the mesenchymal transcription factor Foxl1, collagen-modifying enzyme P3h2, and lncRNA Halr1 across diverse mesodermal lineages. Active broadly in somite compartments (dermomyotome, myotome, sclerotome), both heart fields, lateral plate mesoderm, and periocular mesoderm, it likely reflects a shared metabolic and extracellular matrix maturation state accompanying mesodermal diversification."
P57,"Abca9, Lamc3, Apod, Lepr, Gm35330",5,"Head paraxial mesoderm, Notochord",Meso Lipid Transport/ECM,"Encodes a lipid transport and extracellular matrix program active in axial and paraxial mesoderm. Abca9 and Apod mediate lipid/cholesterol trafficking, Lepr provides metabolic signaling input, and Lamc3 contributes to basement membrane assembly. This program may support the stromal-mesenchymal character of head paraxial mesoderm and notochord through coordinated lipid handling and matrix remodeling."
P58,"Parm1, Cthrc1, Lamb1, Col4a2, Col4a1",5,Parietal endoderm,Reichert's BM synthesis,"Encodes major structural components of Reichert's membrane, the thick basement membrane secreted by parietal endoderm. Col4a1, Col4a2, and Lamb1 are the canonical collagen IV and laminin constituents of this extraembryonic basement membrane, while Cthrc1 promotes collagen deposition. This program reflects the primary secretory function of parietal endoderm in assembling the barrier between the embryo and maternal tissue."
P59,"Tbx1, Gm12829, Gm266, Hlf",4,"Anterior mesoderm, Pharyngeal mesoderm",Tbx1 Pharyngeal Mesoderm,"Tbx1-driven program specifying pharyngeal mesoderm identity. Tbx1 is the master transcription factor for pharyngeal arch development and the second heart field; its loss causes DiGeorge syndrome-associated cardiac outflow tract, craniofacial, and thymus defects. Activity in anterior and pharyngeal mesoderm aligns with Tbx1's role in patterning the cranial mesoderm that contributes to pharyngeal arch muscles, great vessels, and cardiac structures."
P60,"Bcl11a, Bcl11b, Nfib, Oxct1",4,"Arterial endothelial cell, Endocardial cell, Endothelial cell, Epiblast, Epicardium, Juxtacardiac field, Mesothelium, Olfactory sensory neuron, Rostral ectoderm, Spinal cord (sacral)",Bcl11/Nfib Fate Regulators,"A chromatin-remodeling transcription factor program centered on the paralogous zinc finger repressors Bcl11a and Bcl11b, which recruit the NuRD and BAF (SWI/SNF) complexes, together with the pioneer factor Nfib. Active across diverse progenitor and differentiating lineages—endothelial, mesothelial, neural, and epiblast—this program likely governs broad cell fate specification by remodeling chromatin accessibility at lineage-decision loci. Oxct1 may reflect a linked metabolic shift toward ketone body utilization in these fate-transitioning cells."
P61,"Bhlha9, Tlx1, Nkx2-3, Pyy, Msc, Gpx2, Sost, ENSMUSG00000129846, Samd3, Tfap2c, Wnt8a, Gm20467, ENSMUSG00000125874, Sgpp2, Kazald1, Fxyd3, Cyct, Gata3, Fyb2, Emp1, Adcy8, Eya2, Wnt9b, Gm29895, Ofcc1, Stxbp5l, Gm48377, Fgfbp1, H2-Q2, Tuba4a, Fgf5, Gabrg1, F2rl1, Chst9, Gdnf, Lama3, Nrxn3, Upk1a, Dok5, Moxd1, Cpne4, Aqp3, Cyp1b1, Sod3, Sptb, Car2, Chst5, Ndrg2, Eddm13, Gna14, Cdkn1a, Pde11a, Lypd2, Egfr, Kcnj3, Grhl3, Atp6v1c2, Car7, Itgb6, Sptlc3, Prr15, Krt15, Ptprt, Bmerb1, Foxj1, Dgkb, Gm28960, A830018L16Rik, Igsf21, Mal2, Clu, Cldn23, Pid1, 0610040J01Rik, Slc39a2, P4ha3, Robo2, Wnt7a, Myo5b, ENSMUSG00000121482, Gm56557, Gabrg3, Edn1, Reln, Pltp, Tcerg1l, Tle5, Egr4, Wipf3, Cntn5, Elfn1, Oprk1, Niban1, Scube3, Edar, Aqp4, Platr4, Rarres1, Dapl1, Snap91, Slc16a12, Tcfl5, Rnf17, Tgm2, ENSMUSG00000124172, Gdf6, Arap2, Palmd, Hdac9, Cldn8, Wnt10a, Caln1, Hs3st1, Camk4, 4930442G10Rik, Rassf9, Crybg1, Socs2, Sema3c, Ephx2, Rasgrp2, Rab38, Bmp7, Art4, Sgk3, Htra1, Cdh13, Brinp1, Frk, Prlr, Entpd3, Sel1l3, F10, Dsc2, Fblim1, Tuft1, Dock8, Tgfa, Enpep, Chrm2, Krt20, Ociad2, Batf3, Serinc2, Rxrg, Ap1s3, Penk, Tes, Cacnb2, Myo5c, A4galt, Ablim1, Nptx2, Mmp11, Astn2, Fry, Map3k5, Ppp1r16b, Phlda3, Lgals3, Mgst1, Shisa6, Gria4, Tmcc3, Cdh10, Slc40a1, Platr22, Tnfrsf12a, Pla2g4a, Rap1gap2, Naaladl2, Itga6, Jazf1, Kit, Cdc42ep3, Plxdc2, Slc22a23, Ubash3b, Ddah1, Arl4c, Bicd1, Erc2, Kctd1",183,"Definitive endoderm, Epiblast, Epibranchial placode, Epidermal progenitor, Extraembryonic ectoderm, Foregut, Gut, Hindgut, Lens placode, Midgut, Notochord, Olfactory placode, Otic placode, Pharyngeal endoderm, Pre-placodal ectoderm, Rostral ectoderm, Surface ectoderm, Trigeminal placode",Epithelial Identity,"Defines a broad epithelial identity program active across surface ectoderm, cranial placodes, and endoderm-derived gut epithelia. Core transcription factors Tfap2c, Gata3, and Grhl3 drive non-neural ectoderm and epithelial specification, supported by epithelial structural genes (Krt15, Krt20, Cldn8, Cldn23, Dsc2), basement membrane/adhesion components (Lama3, Itga6, Itgb6), polarity machinery (Myo5b, Myo5c), and multiple Wnt ligands (Wnt7a, Wnt8a, Wnt9b, Wnt10a) that pattern these epithelia. Edar and EGF signaling (Egfr, Tgfa) further support ectodermal appendage and epithelial proliferation programs."
