,subtype_id,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers
73,51,Gut,Gut,Early,Endoderm,Endoderm,E8.0,909,"Emb, Slc2a3, Car4, Krt18, Epcam, Krt8, Spink1, Slc16a1, Slc2a1, Apela","Apela, Spink1, Car4, Slc2a1, Trh, Slc16a1, Ifitm1, Emb, Cpn1, Sparc"
74,52,Enteroendocrine progenitor,Enteroendocrine progenitor,Endoderm and notochord,Endoderm,Endoderm,"E9.0, E9.5, E10.0",114,"Slc38a5, Ptprn2, Pyy, Gcg, Cacna2d1, Ghrl, Rbp4, Cadps, Isl1, Rtl4","Slc38a5, Pyy, Gcg, Spint2, Rbp4, Ghrl, Cacna1c, Rtl4, Epcam, Cacna2d1"
75,53a,Foregut,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0",1716,"Ttr, Krt18, Bex1, Robo2, Emb, Krt8, Epcam, Car4, Bex4, Cldn6","Ttr, Cdkn1c, Reln, Hhex, Robo2, Peg10, Pyy, Apela, Phlda2, Car4"
76,53b,Pancreatic-biliary progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E9.0, E9.5, E10.0",1067,"Nepn, Epcam, 9030622O22Rik, Peg3, Krt18, Rbp4, Emb, Spint2, Krt8, Onecut2","Onecut2, Nepn, Flrt2, Rbms3, Sfrp5, Pdx1, Nkx6-2, Sox9, Prox1, Ambp"
77,53c,Respiratory progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E9.0, E9.5, E10.0",2762,"Epcam, 9030622O22Rik, Krt18, Mecom, Peg3, Krt8, Emb, Bex1, Arg1, Cldn6","Sox2, 9030622O22Rik, Galntl6, Rarb, Ppp2r2b, Osr1, Hotairm1, Mecom, Meis1, Car4"
78,53d,Thyroid progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E9.5, E10.0",1594,"Mecom, Sfta3-ps, Foxp2, Epcam, Nkx2-1, Shh, Sema3c, Ctnnd2, Krt18, Cpm","Sfta3-ps, Foxp2, Nkx2-1, Ctnnd2, Shh, Plcl1, Mecom, Lama3, Epha7, Irx2"
79,54,Hepatoblast,Hepatoblast,Endoderm and notochord,Endoderm,Endoderm,"E9.0, E9.5, E10.0",2715,"Afp, Dlk1, Fgb, Reln, Ttr, Apoa2, Itih2, Rbp4, Apoe, Trf","Dlk1, Afp, Itih2, Reln, Fgb, Fabp5, Apoa2, Ambp, Serpina1b, Serpinf2"
80,55,Hindgut,Hindgut,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0, E9.5, E10.0",7896,"Epcam, Gpc3, Spint2, Robo2, Cldn7, Cldn6, Bex1, Slc2a3, Ezr, Prickle1","Prickle1, Hoxa9, Map1b, Hoxa10, Mllt3, Amph, Fbn2, Wnt5a, Greb1, Trps1"
81,56,Midgut,Midgut,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0, E9.5, E10.0",6490,"Rbp4, Epcam, Nepn, Krt18, Bex1, Krt8, Spint2, Peg3, Robo2, Cldn6","Rbp4, Nepn, Kcnq3, Prdm1, Elmo1, Kif26b, Dpp4, Tdh, Klhl13, Pitx2"
82,57,Parietal endoderm,Parietal endoderm,Endoderm and notochord,Endoderm,Endoderm,"E7.5, E8.0, E9.0, E9.5, E10.0",37,"Sparc, Col4a1, Fst, Cd9, Lama1, Fabp3, Col4a2, Lamc1, Lamb1, Srgn","Fst, Col4a1, Lama1, Sparc, Col4a2, Serpinh1, Lamc1, Lamb1, Srgn, Nid1"
83,58,Pharyngeal endoderm,Pharyngeal endoderm,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0, E9.5, E10.0",13027,"Epcam, Igfbp5, Krt18, Spint2, Cldn6, Wfdc2, Etl4, Cldn7, Bex1, Sulf1","Sulf1, Adgrv1, Tmsb4x, Palld, Cacna2d1, Pax9, Ccser1, Uchl1, Foxe1, Sparc"
84,59,Visceral endoderm,Visceral endoderm,Extraembryonic and PGC,Extraembryonic endoderm,Endoderm,"E7.5, E8.0, E9.0, E8.5, E9.5, E10.0",1408,"Ttr, Rbp4, Apoa1, Apob, Apoe, Cubn, Emb, Afp, Dab2, Amn","Ttr, Rbp4, Apoa1, Apob, Cubn, Afp, Dab2, Apom, Amn, Tdh"
85,60,Epiblast,Epiblast,Early,Epiblast,Epiblast,E7.5,635,"Pou5f1, Dnmt3b, Fst, Epcam, Bex4, Tceal8, Bex1, Emb, Spint2, Pim2","Cdx2, Mcc, Fst, Id3, Sp5, Pou5f1, Sema6a, Tceal8, Ptprm, Epcam"
86,61,Primitive streak,Primitive streak,Early,Epiblast,Epiblast,"E7.5, E8.0",306,"T, Pou5f1, Fst, Dnmt3b, Tceal8, Apln, Sp5, Phlda2, Lef1, Emb","T, Fst, Hoxb1, Wnt3a, Alcam, Rbp1, Apln, Meis2, Hoxb2, Hes7"
87,62,Axial progenitor,Axial progenitor,Posterior neural ectoderm,Epiblast,Epiblast,"E8.0, E8.5, E9.0, E9.5, E10.0",9629,"Cdx4, Cyp26a1, Rspo3, T, Fgf8, Hoxaas3, Greb1, Cdx2, Kif26b, Mllt3","Cyp26a1, T, Fgf8, Rspo3, Cdx4, Cdx2, Fgf17, Tpm1, Epha5, Sema6a"
88,63,Macrophage,Macrophage,Blood and endothelial,Blood,Mesoderm,"E8.5, E9.0, E9.5, E10.0",2647,"Coro1a, Mef2c, Runx1, Fcer1g, Arpc1b, Lcp1, Tmsb4x, Arhgdib, Ccl3, Spi1","Ccl3, Coro1a, Cebpb, Spi1, Tyrobp, Ctsc, Lcp1, Apbb1ip, Plac8, C1qb"
89,64,Megakaryocyte,Megakaryocyte,Blood and endothelial,Blood,Mesoderm,"E8.5, E9.0, E9.5, E10.0",838,"Pf4, Fermt3, Plek, Thbs1, Prkca, Rab27b, Prkar2b, Rap1b, Cd9, Itgb3","Pf4, Thbs1, Rab27b, Prkca, Fermt3, Rabgap1l, Pard3b, Plek, Itgb3, Cd9"
90,65,Primitive erythrocyte,Primitive erythrocyte,Blood and endothelial,Blood,Mesoderm,"E8.5, E9.0, E9.5, E10.0",55551,"Hbb-y, Hbb-bh1, Hba-x, Hba-a1, Hba-a2, Ahsp, Car2, Mgst3, Slc25a37, Gypa","Hba-x, Hbb-y, Hbb-bh1, Hba-a1, Hba-a2, Ahsp, Car2, Mgst3, Slc25a37, Gypa"
91,66,Allantoic endothelial progenitor,Allantoic endothelial progenitor,Blood and endothelial,Extraembryonic mesoderm,Mesoderm,"E8.0, E8.5, E9.0, E10.0",3302,"Ramp2, Kdr, Mest, Fli1, Egfl7, Fn1, Plac1, Ptprm, Rhoj, Meg3","Meg3, Dlk1, Plac1, Rian, Peg3, Fn1, Mest, Hoxa9, Igf2r, Tmem158"
92,67a,Endothelial cell,Endothelial cell,Blood and endothelial,Mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",18376,"Ptprm, Emcn, Ramp2, Kdr, Gng11, Cdh5, Flt1, Plvap, Hapln1, Vim","Piezo2, Arhgap18, Pcdh17, Aplnr, Rapgef4, Dock4, Mef2c, Clec1b, Ccnd1, Gng11"
93,67b,Yolk sac endothelial cell,Endothelial cell,Blood and endothelial,Extraembryonic mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",369,"Ramp2, Gng11, Vim, Plvap, Mest, Igfbp4, Emcn, Sparc, Cdh5, Egfl7","Tmsb4x, Filip1l, Cavin3, Gap43, Rps8, Tagln2, Vim, Sparc, Calm1, Maged2"
94,68,Allantois,Allantois,Extraembryonic and PGC,Extraembryonic mesoderm,Mesoderm,"E7.5, E8.0, E8.5, E9.0, E9.5, E10.0",15703,"Phlda2, Pitx1, Tbx4, Spin2c, Slc38a4, Pmp22, Plac1, Unc5c, Hand1, Twist1","Phlda2, Cdkn1c, Tbx4, Pitx1, Spin2c, Pmp22, Krt8, Sgce, Unc5c, Hand1"
95,69,Extraembryonic mesoderm,Extraembryonic mesoderm,Extraembryonic and PGC,Extraembryonic mesoderm,Mesoderm,"E7.5, E8.0, E8.5, E9.0, E9.5, E10.0",19061,"Col1a1, Postn, Lum, Col1a2, Col3a1, Dlk1, Acta2, Sparc, Arhgap6, Pmp22","Postn, Lum, Col1a1, Col3a1, Col1a2, Acta2, Nrp1, Dcn, Csrp2, Col5a2"
96,70a,Intermediate mesoderm,Intermediate mesoderm,Intermediate and somatic mesoderm,Intermediate mesoderm,Mesoderm,"E7.5, E8.0, E8.5",2828,"Phlda2, Ifitm1, Cited1, Hoxaas3, Lef1, Cdx4, Prtg, Rbp1, Osr1, Greb1l","Hoxaas3, Cited1, Rbp1, Maml3, Gm14226, Hoxb9, Cacna2d1, Cdx4, Cdx1, Rnf213"
97,70b,Intermediate mesoderm (posterior),Intermediate mesoderm,Intermediate and somatic mesoderm,Intermediate mesoderm,Mesoderm,"E9.5, E10.0",6095,"Dlk1, Peg3, Gpc3, Gas1, Mest, Wt1, Meis1, Bnc2, Tshz2, Aldh1a2","Wt1, Palld, Creb5, Ror1, Cxcl12, Id3, Bmper, Nrg1, AU020206, Gas1"
98,70c,Intermediate mesoderm (nephrogenic),Intermediate mesoderm,Intermediate and somatic mesoderm,Intermediate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",13350,"Pax2, Ncam1, Gpc6, Tshz2, Arid5b, Ltbp1, Nrp1, Hmga2, Thsd4, Rdh10","Pax2, Wfdc2, Pax8, Ncam1, Rmst, Sim1, Arid5b, Cdkn1c, Dach1, Nrp1"
99,71,Lateral plate mesoderm,Lateral plate mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E7.5, E8.0",1137,"Ifitm1, Phlda2, Aldh1a2, Prtg, Arg1, Gata6, Twist1, Foxf1, Csrp2, Gpc3","Sfrp5, Aldh1a2, Dusp9, Gata6, Ifitm1, Lefty2, Dach1, Emb, Igfbpl1, Nhs"
100,72,Epicardium,Epicardium,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",2518,"Kcnq5, Erbb4, Thsd4, Tmem108, Nfia, Arhgap6, Igfbp5, Flrt2, Tbx18, Itga4","Thsd4, Itga4, Ebf1, Sorcs1, Tbx18, Erbb4, Stk26, Wt1, Upk3b, Sox9"
101,73a,First heart field,First heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,E8.0,487,"Myl7, Actc1, Ttn, Myl4, Tnnt2, Acta2, Slc8a1, Tpm1, Ryr2, Tnni1","Phlda2, Sfrp5, Hmga2, Apoe, Mpped2, Cited2, Actg1, Hdgf, Map1b, Amph"
102,73b,Left ventricle,First heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",3462,"Actc1, Myl7, Ttn, Myl4, Acta2, Tnnt2, Myl3, Tnni1, Slc8a1, Myl2","Myl2, Mest, Nppa, Acta1, Ccnd2, Smpx, Myl3, Myh7, Mpped2, Nppb"
103,73c,Atrioventricular canal,First heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",1356,"Actc1, Ttn, Myl7, Myl4, Slc8a1, Acta2, Tnnt2, Myh6, Ryr2, Tnni1","Rspo3, Rgs6, Cacna2d2, Tbx5, Bmp2, Zfpm2, Mlip, Wnt2, Myh6, Spon1"
104,75a,Second heart field (anterior),Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",4005,"Mpped2, Prkg1, Armh4, Dlk1, Mecom, Kcnq5, Arhgap6, Runx1t1, Tnni1, Prrx2","Igfbpl1, Prtg, Armh4, Myl7, Ier2, Irx3, Mpped2, Npm3, Isl1, Pgk1"
105,75b,Outflow tract,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",2077,"Mecom, Rgs5, Armh4, Unc5c, Gpc3, Mef2c, Prkg1, Dlk1, Tnni1, Runx1t1","Mecom, Rgs5, Unc5c, Isl1, Foxp2, Tshz2, Grid2, Gpc3, Armh4, Mef2c"
106,75c,Right ventricle,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",2882,"Ttn, Actc1, Myl7, Acta2, Myl4, Tnnt2, Slc8a1, Tnni1, Tagln, Tpm1","Dlk1, Nrp2, Cripto, Fhl1, Cdkn1c, Rgs5, Mecom, Amph, Myh7, Armh4"
107,75d,Second heart field (posterior),Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.0, E8.5, E9.0, E10.0",3137,"Ryr2, Myl4, Myl7, Actc1, Sfrp5, Tnni1, Wnt2, Tnnt2, Gata6, Ccdc141","Sfrp5, Nr2f2, Fabp5, Wnt2, Dusp9, Kitl, Sfrp1, Gpc6, Trabd2b, H1f5"
108,75e,Atria,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",3413,"Actc1, Myl7, Ttn, Myl4, Acta2, Tnnt2, Myh6, Slc8a1, Ryr2, Tnnc1","Angpt1, Vsnl1, Kcnq3, Nr2f2, Itga6, Myh6, Fbxo32, Trabd2b, Rgs6, Sfrp1"
109,75f,Inflow tract,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",5319,"Erbb4, Myl4, Ryr2, Slc8a1, Acta2, Myl7, Actc1, Tnni1, Zfpm2, Igfbp5","Ptn, Tenm3, Nfia, Plcb1, Mir99ahg, Unc5c, Shox2, Flrt2, Foxp2, Robo2"
110,74,Juxtacardiac field,Juxtacardiac field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",4225,"Twist1, Kcnq5, Ppp2r2b, Tpm1, Rbms3, Arhgap6, Ccbe1, Mest, Dlk1, Tmem108","Fras1, Mab21l2, Ccbe1, Tmsb4x, Kcnh7, Ppp2r2b, Tagln, Tpm1, Arhgap6, Tmem108"
111,76,Forelimb field,Forelimb field,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",44643,"Prrx1, Mecom, Twist1, Gpc5, Sema3a, Lix1, Gpc3, Asb4, Lhx9, Cped1","Asb4, Lhx9, Sema3a, Lix1, Lhx2, Hoxd9, Gpc5, Tbx5, Hoxa9, Gli3"
112,77,Hindlimb field,Hindlimb field,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",13444,"Twist1, Prrx1, Pitx1, Tshz2, Tmem132c, Mecom, Dlk1, Cped1, Gpc6, Klf12","Pitx1, Hoxd11, Tshz2, Tbx4, Hoxa10, Pcdh7, Greb1l, Tril, Bach2, Hoxc10"
113,78a,Somatic mesoderm,Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E10.0",20318,"Twist1, Dlk1, Mest, Prrx1, Peg3, Gpc3, Prrx2, Kcnh7, Lef1, Bnc2","Kcnh7, Twist1, Crabp2, Mest, Plxna4, Dlk1, Ptn, Itga9, Lix1, Gas1"
114,78b,Somatic mesoderm (anterior),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",25588,"Ptn, Dlk1, Sema3a, Twist1, Sfrp1, Col3a1, Gpc3, Kcnq5, Meis2, Alcam","Ptn, Pbx1, Sema3a, Crabp2, Mir99ahg, Zfhx4, Gm56620, Nr2f1, Meis2, Vcan"
115,78c,Somatic mesoderm (tailbud),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",5895,"Robo2, Prrx1, Twist1, Hoxd11, Tmem132c, Kif26b, Col23a1, Hoxa10, Ebf2, Hoxc10","Robo2, Ebf2, Hoxd11, Cadm1, Kif26b, Greb1l, 2610307P16Rik, Col23a1, Hoxc10, Sulf1"
116,78d,Somatic mesoderm (posterior),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",79645,"Dlk1, Twist1, Pitx1, Peg3, Col3a1, Unc5c, Gpc6, Bnc2, Mest, Prrx1","Pitx1, Sox6, Ppp2r2b, Pmp22, Unc5c, Mpped2, Hpse2, Bnc2, Ccser1, Postn"
117,79,Mesothelium,Mesothelium,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",506,"Aldh1a2, Epha7, Dlk1, Gpc3, Bnc2, Rbms3, Peg3, Arg1, Dpf3, Adgrl3","Aldh1a2, Dach2, Dpf3, Adgrl3, Epha7, Upk3b, Arg1, Rbms3, Hapln1, Tmem108"
118,80a,Splanchnic mesoderm,Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E10.0",21839,"Foxf1, Ifitm1, Peg3, Cdx4, Csrp2, Robo2, Hoxaas3, Phlda2, Hoxc8, Hand1","Foxf1, Dsp, Tmem158, Hoxc8, Pitx1, Krt18, Hsd11b2, Hoxa9, Vim, Greb1"
119,80b,Splanchnic mesoderm (cardiopulmonary),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",10176,"Foxp2, Kcnq5, Foxf1, Unc5c, D030025E07Rik, Slit3, Osr1, Cdh11, Gpc3, Bnc2","Unc5c, Tbx5, Kcnq5, D030025E07Rik, Sparcl1, Slit3, Ryr2, Tafa1, Pde4d, Prrx2"
120,80c,Splanchnic mesoderm (gastric),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",6254,"Barx1, Foxp2, Tshz2, Ccnd2, Foxf1, Bmpr1b, Bnc2, Dach2, Pdgfra, Gpc3","Barx1, Ccnd2, Isl1, Sorbs2, Bmpr1b, Dach2, ENSMUSG00000133633, Cadm1, Pdgfra, Pde5a"
121,80d,Splanchnic mesoderm (intestinal),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0, E8.5",15739,"Tshz2, Bnc2, Col3a1, Runx1t1, Dlk1, Col23a1, Foxf1, Peg3, Hsd11b2, Hand1","Hand1, Kif26b, Dsp, Col23a1, Nrp2, Pmp22, Mab21l2, Ccser1, Ebf1, Dlk1"
122,80e,Splanchnic mesoderm (septum transversum),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",6642,"Zfpm2, Alcam, Dlk1, Plagl1, Robo2, Asb4, Gata4, Gata6, Itm2a, Ptn","Plagl1, Tgfbr3, Robo2, Alcam, Adam12, Ghr, Dlk1, Itm2a, Zfpm2, Hmcn1"
123,81,Anterior mesoderm,Anterior mesoderm,Early,Mesoderm,Mesoderm,"E8.0, E8.5, E9.0",2379,"Twist1, Ebf1, Colec12, Prrx2, Col23a1, Ebf2, Cdh11, Fst, Pgk1, Fzd2","Ebf1, Ebf2, Nnat, Colec12, Fst, Tbx1, Col26a1, Ank3, Ror1, Kdr"
124,82,Nascent mesoderm,Nascent mesoderm,Early,Mesoderm,Mesoderm,"E7.5, E8.0",745,"Phlda2, Lefty2, Pou5f1, Mesp1, Emb, Lef1, Ifitm1, Pcdh19, Tenm4, Dll3","Lefty2, Phlda2, Mesp1, Twist1, Rasgrp3, Tenm4, Pcdh19, Col23a1, Dusp9, Dll3"
125,83,Arterial endothelial cell,Arterial endothelial cell,Blood and endothelial,Mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",2204,"Ramp2, Ptprm, Calcrl, Cdh5, Flt1, Plvap, Mecom, Emcn, Sparc, Gja4","Gja4, Mecom, Vegfc, Gja5, Sat1, Igfbp3, Calcrl, Efnb2, Tmem100, Nrp1"
126,84,Endocardial cell,Endocardial cell,Blood and endothelial,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",3695,"Hapln1, Ramp2, Ptprm, Fn1, Vim, Igf2r, Tagln2, Nfia, Calcrl, Nfib","Pdlim3, Cdkn1c, Igf2r, Kcnq5, Tbx20, Gata4, Nfia, Tmem108, Mical2, Nrxn3"
127,85,Endothelial progenitor,Endothelial progenitor,Blood and endothelial,Mesoderm,Mesoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",9380,"Hapln1, Kdr, Egfl7, Fli1, Lmo2, Ramp2, Igfbp4, Ptprm, Rhoj, Vav3","Etv2, Thsd4, Gadd45g, Cd24a, Colec12, Gpc3, Gpc6, Lmo2, Nrp2, Sorcs2"
128,86,Hematoendothelial progenitor,Hematoendothelial progenitor,Blood and endothelial,Mesoderm,Mesoderm,"E7.5, E8.0",300,"Lmo2, Fgf3, Rspo3, Runx1, Reln, Car2, Tal1, Fli1, Gata2, Phlda2","Reln, Runx1, Lmo2, Fgf3, Unc5c, Kcnq5, Cited2, Phlda1, Tal1, Ccnd2"
129,87,Notochord,Notochord,Endoderm and notochord,Mesoderm,Mesoderm,"E7.5, E8.0, E8.5, E9.0, E9.5, E10.0",3730,"T, Slit2, Shh, Alcam, Cobl, Nav3, Etl4, Cthrc1, Pde4d, Samd3","T, Slit2, Alcam, Nav3, Cthrc1, Cobl, Shh, Vim, Lmx1a, Samd3"
130,88,Pharyngeal mesoderm,Pharyngeal mesoderm,Splanchnic mesoderm,Paraxial mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",17528,"Tshz2, Cdh11, Ebf1, Prkg1, Grid2, Nnat, Col26a1, Eya1, Tbx1, Gng11","Grid2, Tshz2, Tbx1, Eya4, Igfbp5, Gm266, Gng11, Celf2, Gfra1, Gm56620"
131,89,Dermomyotome,Dermomyotome,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",92662,"Meox1, Tcf15, Pax3, Ntn1, Plch1, Gas1, Fbn2, Mest, Rps6ka3, Dlk1","Plch1, Rps6ka3, Dmrt2, Sema3a, Gas1, Igfbp5, Pax3, Foxp2, Cdon, Sdk1"
132,90,Head paraxial mesoderm,Head paraxial mesoderm,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",67945,"Col3a1, Cdh11, Twist1, Col23a1, Cped1, Ebf1, Colec12, Vcan, Foxd1, Tmem132c","Ctnna2, Alcam, Ptn, Unc5c, Flrt2, Ebf1, Col23a1, Limch1, Ror1, Sfrp1"
133,91,Hypaxial myogenic progenitor,Hypaxial myogenic progenitor,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E9.0, E9.5, E10.0",8458,"Pax3, Ptn, Eya1, Lbx1, Mest, Hs6st3, Id2, Nav3, Asb4, Mir99ahg","Pax3, Hs6st3, Lbx1, Nav3, Id2, Inpp4b, Eya1, Met, Abr, Tmsb4x"
134,92,Myotome,Myotome,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",5029,"Cdkn1c, Ttn, Itm2a, Myog, Clstn2, Actc1, Ncam1, Tpm1, Nes, Slc24a3","Ncam1, Myog, Clstn2, Cdkn1a, Nes, Efna5, Cadm1, Lrrn1, Itm2a, Pde4d"
135,93,Nascent somite,Nascent somite,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",14575,"Meox1, Kif26b, Tcf15, Lef1, Ifitm1, Smoc1, Pcdh19, Greb1l, Pcsk5, Tenm4","Meox1, Tcf15, Foxc2, Notch1, Ebf1, Kif26b, Pcdh8, Fgf18, Ntn1, Pcsk5"
136,94,Periocular mesoderm,Periocular mesoderm,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",3950,"Hpse2, Cdh11, Pitx2, Nnat, Robo2, Cped1, Col3a1, Foxp2, Colec12, Chsy3","Hpse2, Pitx2, Lmx1a, Robo2, Chsy3, Eya2, Dach1, Vegfc, Grik2, Slit2"
137,95,Presomitic mesoderm,Presomitic mesoderm,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E7.5, E8.0, E8.5, E9.0, E9.5, E10.0",29011,"Rspo3, 9530020I12Rik, Hoxaas3, Ifitm1, Lef1, Cited1, Kif26b, Dll3, Greb1l, Limch1","9530020I12Rik, Rspo3, Btg2, Smc6, Cited1, Tpm1, Dll3, Plxna2, Lmo2, Hoxaas3"
138,96,Sclerotome,Sclerotome,Paraxial mesoderm,Paraxial mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",129101,"Twist1, Col3a1, Cdh11, Foxd1, Meox1, Mest, Fbn2, Arg1, Foxp2, Fbxl7","Arg1, Foxd1, Dlk1, Col3a1, Pax1, Sncaip, Rnf220, Nrg1, Sema5a, Cxcl12"
139,97,Primordial germ cell,Primordial germ cell,Extraembryonic and PGC,Primordial germ cell,Primordial germ cell,"E7.5, E8.0, E8.5, E9.0, E9.5, E10.0",638,"Dppa3, Ifitm3, Pou5f1, Ifitm1, Phlda2, Tfap2c, Prdm1, L1td1, Dnd1, Alg13","Dppa3, Ifitm3, Ifitm1, Ttc28, Prdm1, Mast4, Zbtb20, Klf2, Kit, Thsd4"
